yyyymmdd,RET_US,RET_DE,RET_JP,RET_BR,RET_RU,RET_IN,RET_CN,NBER_recess_indicator
11/27/1995,0.002247585,0.018006645,0.014853632,0.005765394,-0.002898353,0.003400727,-0.02243906,0
11/28/1995,0.008495046,0.00198186,0.006829311,-0.013586966,0.000967051,-0.011024054,0.011768852,0
11/29/1995,0.001960317,0.0013725,-0.006385318,0.032241657,-0.018113913,-0.008253272,-0.017705629,0
11/30/1995,-0.00374276,-0.001243191,0.012150075,0.045819885,-0.009181504,0.010518101,-0.0007352,0
12/1/1995,0.002656,0.007918345,0.010362996,-0.007473157,0.006788316,0.011791392,-0.011837317,0
12/4/1995,0.010977778,-0.00376705,0.003372932,-0.002718833,0.013300861,-4.66E-05,0.001760297,0
12/5/1995,0.006496904,0.003913015,-0.000299504,-0.012327063,0.027571872,-0.000885416,0.003617078,0
12/6/1995,0.004039234,0.002733998,0.005390634,0.005241896,0.012771566,0.010404441,-0.014118383,0
12/7/1995,-0.006486859,-0.001796795,0.017412632,0.003525704,0.016954048,0.013731591,0.005607306,0
12/8/1995,0.00212378,0.001937929,-0.006246247,-0.004525367,0.004063181,-0.025240017,0.008571503,0
12/11/1995,0.003298305,0.002343448,-0.002412325,0.001626848,0,-0.01046262,-0.028763638,0
12/12/1995,-0.001195187,0.007430025,0.003766705,0.01367657,0,-0.004743341,0.017522274,0
12/13/1995,0.004691779,-0.005241311,-0.001013977,0.000961605,0.020584583,0.00868162,-0.026360695,0
12/14/1995,-0.00770222,0.003527882,0.007310274,-0.043616833,0.049985417,-0.003435324,0.00162989,0
12/15/1995,-0.000940597,-0.000472584,-0.005198438,-0.005897883,0,-0.001368,-0.018571003,0
12/18/1995,-0.015583032,-0.008165356,0.000372215,-0.025005259,-0.012264073,-0.002205316,-0.020516929,0
12/19/1995,0.00840217,-0.013581413,-0.007562835,-0.005190965,0.026304488,-0.001988951,0.000113978,0
12/20/1995,-0.009836926,0.011761729,0.016221686,0.041434446,0.007662873,0.001720831,0.015605628,0
12/21/1995,0.007480942,0.00132534,0.009963276,0.010948712,-0.034337617,0.009716663,-0.006142091,0
12/22/1995,0.002405007,0.006758358,0.005285759,0.021221943,-0.007931632,0.006880904,-0.004769189,0
12/25/1995,0,0,0.003112343,0,0.013839341,0,-0.024541914,0
12/26/1995,0.003816487,0,0.002329502,0.004777664,0.00440799,0,-0.014183686,0
12/27/1995,0.00037434,0,0.005431308,-0.00406416,0.007303745,0,-0.003729742,0
12/28/1995,-0.000667399,-0.002014807,-0.008517319,-0.010942471,0.005684239,0,-0.025689423,0
12/29/1995,0.002942972,-0.00969604,0.003352256,0,0,0,-0.002153489,0
1/1/1996,0,0,0,0,0,0.003484621,0,0
1/2/1996,0.007762884,0.013651578,0,0.020969568,0,-0.003888072,-0.034004072,0
1/3/1996,0.000950042,0.019228694,0,0.064245205,0,-0.005415766,0.00831129,0
1/4/1996,-0.005843344,-0.002105924,0.03326202,0.000576584,0,-0.007235514,0.028990595,0
1/5/1996,-0.001604005,0.003247286,0.000594529,0.002175212,0,-0.005880098,-0.042278634,0
1/8/1996,0.00283362,-0.003608747,-0.00652233,0.009899077,0,-0.012937491,0.005588117,0
1/9/1996,-0.014675606,0.011204575,0.00086923,-0.018542506,0.052046749,0.031437827,0.036603871,0
1/10/1996,-0.018163804,-0.004893511,-0.003320704,-0.006834796,0.03851596,-0.04104578,-0.0208381,0
1/11/1996,0.007009861,-0.003719181,-0.010859706,0.027000114,0.004506245,0.004147408,-0.003562981,0
1/12/1996,-0.001461187,0.011498304,-0.004868141,0.020406532,-0.013246689,0.001946731,0.003155919,0
1/15/1996,-0.003312171,0.001102746,0,0.01001856,0.00818951,0.002327879,0.007231582,0
1/16/1996,0.014268694,0.0075255,0.006803791,-0.009977295,-0.03544959,-0.002504698,-0.00629382,0
1/17/1996,-0.003407944,-0.002346168,0.001203208,-0.002189405,-0.069996654,-0.012179,-0.019988341,0
1/18/1996,0.00307918,0.004040239,-0.011089228,-0.000475693,0.023482076,-0.008235341,-0.039056902,0
1/19/1996,0.005884925,0.00747337,-0.00112833,0.01541666,0.017197838,-0.006089251,0.011527613,0
1/22/1996,0.002562786,-0.003436838,-0.009588433,-0.003101157,0.002700959,-0.001982882,-0.014609163,0
1/23/1996,-0.000994952,-0.002538221,-0.004013417,0.018504425,-0.029032378,-0.008888504,0.005685938,0
1/24/1996,0.01163266,0.016058454,0.006074474,-0.008056114,-0.013246836,-0.019939479,0.006118851,0
1/25/1996,-0.004737315,0.008486137,0.006340942,0,-0.047219341,-0.001192403,-0.002607126,0
1/26/1996,0.007411328,-0.004425176,0.008488535,-0.007612009,0.028199378,0,0.008947526,0
1/29/1996,0.004173897,0.005378186,-0.002457404,0.005506745,0.001993025,0.007505427,0.007163209,0
1/30/1996,0.009455016,-0.004203339,0.003083327,0.039456062,0.00731514,0.012574553,0.007221568,0
1/31/1996,0.009272123,0.01400369,0.00932354,0.003519727,-0.002969197,0.010403431,0.009224109,0
2/1/1996,0.003829017,-0.004414338,0.007048395,0.02262857,0.005929604,0.018055113,-0.001457643,0
2/2/1996,-0.004112067,-0.002932004,-0.004324458,0.026498934,0.02877285,0.047251886,-0.001302295,0
2/5/1996,0.008753099,-0.013570122,-0.010259496,-0.014520257,0,0.023449815,-0.025609759,0
2/6/1996,0.00761015,0.003824822,0.001179816,0.003967442,0,-0.016366179,-0.004018909,0
2/7/1996,0.005554456,0.00733626,0.011938015,-0.013368504,-0.033464216,0.003285537,0.007596266,0
2/8/1996,0.009402826,-0.00654589,0.004876694,0.007467788,0.000865854,0.037012845,-0.005194142,0
2/9/1996,0.000457164,-0.007546302,-0.005888215,-0.003236736,-0.005703673,0.039433163,0.007171944,0
2/12/1996,0.007709741,0.006661209,0,0.0063132,-0.020476816,0.013525632,0.000885969,0
2/13/1996,-0.001422131,0.002410552,-0.006357718,0.008690355,-0.014059536,0.012805876,0.007352704,0
2/14/1996,-0.007491924,-0.002814249,0.004449078,-0.010227404,0.001928889,0.021833674,-0.00102613,0
2/15/1996,-0.006519267,-0.0016742,-0.004430448,-0.010769117,0.000256904,-0.00486982,0.01510371,0
2/16/1996,-0.005141241,0.002477315,-0.004057255,-0.019279412,-0.006701056,-0.015775122,0.02956962,0
2/19/1996,0,-0.012610988,-0.004518405,0,-0.015506207,0.002221625,0,0
2/20/1996,-0.011376546,-0.00668037,-0.004142586,0,-0.02150335,-0.010516859,0,0
2/21/1996,0.011561719,0.00356535,-0.010877165,0,-0.031346257,0,0,0
2/22/1996,0.016466063,0.008694403,-0.000158974,0.01242968,-0.019431659,0.011136929,0,0
2/23/1996,0.000333854,0.016358013,-0.002725561,0.006972978,0.049032129,-0.000537371,0,0
2/26/1996,-0.013165118,-0.003857695,0.002509316,-0.005542076,-0.009453143,0.009396696,0,0
2/27/1996,-0.004962636,0.001055806,-0.011998263,-0.010001808,-0.012424216,-0.005586224,0,0
2/28/1996,-0.003854524,0.011217382,-0.003966992,0.001212436,-0.0044059,-0.010572907,0,0
2/29/1996,-0.006722819,0.000424581,0.008520877,-0.047582078,-0.016136113,-0.030130101,0,0
3/1/1996,0.00613327,0.011124247,0.002796542,0.025038406,-0.015261,0.00452299,0,0
3/4/1996,0.009944646,-0.005303457,-0.00563306,0.01354052,-0.014485732,0.003935587,0.088500502,0
3/5/1996,0.007622875,-0.003607801,-0.001260402,0.008753087,0.013345968,0,-0.02599449,0
3/6/1996,-0.005796054,-0.005253729,-0.001403744,-0.043788266,-0.000713013,0.001898313,-0.049823357,0
3/7/1996,0.002527478,0.006023895,-0.014101146,-0.045078691,-0.002285062,-0.004610362,0.018404533,0
3/8/1996,-0.03131204,-0.004775709,0.008932842,-0.007195718,0,-0.008108886,0.006927124,0
3/11/1996,0.010239426,-0.025152498,-0.012002568,0.010512331,-0.00014299,-0.012346014,-0.008066473,0
3/12/1996,-0.004588493,0.01163572,0.006709746,-0.006813047,-0.005161302,-0.003605546,-0.007874796,0
3/13/1996,0.002289048,-0.0039446,-0.007601667,0.013871359,-0.02724726,0.010993976,-0.001080998,0
3/14/1996,0.003626647,4.53E-05,0.006389798,0.007401375,0.011163453,0.00355184,-0.001821463,0
3/15/1996,0.000873431,0.01299581,0.011962919,0.002310756,-0.007919091,-0.008809232,-0.000430074,0
3/18/1996,0.017340939,0.0020035,0.004139967,0.007084582,-0.018275525,-0.012282965,0.009760017,0
3/19/1996,-0.001472009,0.012146013,0.006993751,-0.007290683,0.008807999,-0.008495027,-0.002525038,0
3/20/1996,-0.002627396,-0.002956324,0,0.003477406,0.02393829,0,0.005927154,0
3/21/1996,-0.001216161,0.007302608,0.01157803,0.022604307,0.043170128,0.007981782,6.79E-05,0
3/22/1996,0.002200322,-3.99E-05,-0.001954037,0.014256191,0.037910185,-0.007228007,0.001069201,0
3/25/1996,-0.000891855,0.002512795,0.008563089,-0.003887814,0.019873468,-0.000251195,0.000186569,0
3/26/1996,0.004497287,-0.00439154,0.003197804,-0.009966827,0.022055902,0.000384155,-0.012131288,0
3/27/1996,-0.006237154,0.010388691,0.009909211,0.011555516,-0.02626256,0.012347014,-0.001993265,0
3/28/1996,4.62E-05,-0.00674634,0.000654256,-0.011796426,-0.009929253,0,-0.01530452,0
3/29/1996,-0.005315052,-0.009038347,0.009940006,-0.005153302,0.006233855,0.021336375,0.004322145,0
4/1/1996,0.012669212,0.001294483,0.00783177,0.010919199,0.025198801,0,0.017941488,0
4/2/1996,0.002337681,0.004861431,0.000163648,-0.004742428,0.038198649,0.013407214,-0.015856815,0
4/3/1996,0.000945742,-0.002730394,-0.002688427,-0.00160591,0.049510868,0.006307751,0.006831514,0
4/4/1996,-3.05E-05,0.000312652,-0.001879511,0,-0.008539964,-0.002580104,0.004042286,0
4/5/1996,0,0,0.009832778,0,-0.029618363,0.010127836,0.035038872,0
4/8/1996,-0.017876024,0,-0.008238919,-0.025206546,0.018478522,0.010769069,-0.001946189,0
4/9/1996,-0.003187117,0.003233012,0.011999781,0.002633692,0.014707027,-0.000907915,-0.005712731,0
4/10/1996,-0.01362421,0.010633325,0.002836847,0.004735508,-0.004162956,-0.004012941,0.00280215,0
4/11/1996,-0.003668916,-0.008059999,0.001573885,-0.000900274,0.021577209,-0.003834897,0.006292827,0
4/12/1996,0.00872321,0.000824457,0.000209266,0.026342829,0.009750513,0.006305243,0.006352161,0
4/15/1996,0.00903696,0.013508268,0.006150748,0.001354852,0.009885138,0.014966899,-0.003740416,0
4/16/1996,0.003899064,-0.002973851,-0.002188953,-0.006612288,0.063801947,0.008720337,0.010852985,0
4/17/1996,-0.005269674,-0.005609825,-0.001102237,0.002921989,0.020078223,0.025608862,0.004431996,0
4/18/1996,0.00311231,0.004482487,-0.002488967,-0.000379776,-0.029674501,0.018575983,0.012232223,0
4/19/1996,0.002265885,0.000394319,0.003632886,0.014606912,-0.029130941,0,0.029980493,0
4/22/1996,0.004362091,0.003695087,0.010083561,0.00080746,0.019441682,-0.003961781,-0.006551966,0
4/23/1996,0.005679254,0.001675795,0.00364222,-0.003510298,0.028790602,0.000530007,0.016570194,0
4/24/1996,-0.002166315,-0.004685138,0.005383081,-0.0029479,0.047939462,0.035696316,0.0658772,0
4/25/1996,0.004144161,-0.002307388,0.001313543,0.014731457,0.095862666,-0.002459688,-0.018694586,0
4/26/1996,0.000903294,0.001877868,0.002301832,0.004033324,-0.03255971,-0.016118101,0.082601759,0
4/29/1996,0.001070648,-0.012177888,0,0.001301995,-0.008308313,0,0.043375821,0
4/30/1996,1.53E-05,-0.000482869,-0.003253249,0.002870055,0,0.007190086,-0.084092224,0
5/1/1996,0.000626552,0,-0.008686195,0,0,0,0,0
5/2/1996,-0.017258279,-0.001174225,-0.006981151,-0.003511124,0,0.003399779,-0.041502722,0
5/3/1996,-0.002723716,-0.018073801,0,-0.0086851,0,-0.00877481,-0.006643268,0
5/6/1996,-0.001278812,0.004636254,0,0.010044455,0.014565444,-0.016481115,0.033528714,0
5/7/1996,-0.003987277,0.004292268,-0.009135205,0.025104317,0.033548656,0,-0.015954137,0
5/8/1996,0.01014794,-0.00278262,0.006390904,0.014373868,0.014606746,0.013649205,0.000654712,0
5/9/1996,0.001038591,-0.001319299,-0.009814959,0.005209799,0,-0.013700774,-0.006478653,0
5/10/1996,0.010250334,-0.000243005,-0.004105101,-0.008011968,0,-0.007012307,0.007365468,0
5/13/1996,0.014342511,0.011033456,-0.008991166,0.024886511,0.051005042,0.009060129,0.007340465,0
5/14/1996,0.006163789,0.009394196,0.005408027,-0.009552432,-0.035011849,0.009246518,-0.000837013,0
5/15/1996,-0.000270469,0.003573357,0.022830471,0.002649349,-0.032337877,-0.000548305,0.025542644,0
5/16/1996,-0.000856969,0,0.004368727,0.006063345,0.00675185,0.008269076,0.001448491,0
5/17/1996,0.006088071,0.003387238,-0.007824067,0.015368189,-0.005745308,-0.010184125,0.042493447,0
5/20/1996,0.006318665,0.004981012,0.002792462,0.016993838,0.013986242,-0.018977174,-0.013095651,0
5/21/1996,-0.000579534,0.008115996,0.000153922,-0.009540209,0.024850978,-0.008278399,-0.062282245,0
5/22/1996,0.008377911,-0.005425501,-0.003665028,0.014091606,0.021841199,-0.000604269,0.010588836,0
5/23/1996,-0.003573489,0.001403076,-0.012567351,-0.026864731,0.042136331,-0.001907155,-0.040737576,0
5/24/1996,0.003706142,-0.007141348,0.001472954,0.012541039,0.083021749,0.003535221,-0.004244699,0
5/27/1996,0,0,-0.003677415,0.004862549,0.094778406,-0.014908685,-0.003070997,0
5/28/1996,-0.009298674,0.006297393,0.010073068,0.01460498,0.127772579,-0.006224558,0.014563401,0
5/29/1996,-0.006417166,-0.00268115,0.003355098,-0.015013734,-0.095218993,0.025466192,0.005852172,0
5/30/1996,0.005628435,-0.009506329,-0.004442106,0.010978145,-0.058587247,-0.008381751,-0.022513481,0
5/31/1996,-0.003848396,0.00611034,0.004269561,0.0070429,0.040776616,0.004193099,0.011462003,0
6/3/1996,-0.002154399,-0.003928581,-0.013135032,-0.016351536,0.015132357,0.014726349,-0.003726127,0
6/4/1996,0.00728231,0.005284434,0.01014348,-0.006355444,-0.030358988,-0.000918113,0.016666681,0
6/5/1996,0.008704718,0.002463336,-0.000268605,-0.005641486,-0.055635017,0.002596985,0.070032308,0
6/6/1996,-0.00800614,0,-0.003959833,0,0.009164367,0.007737927,0.008528048,0
6/7/1996,0.000415942,0.001917824,-0.005282194,-0.006793982,0.018720288,0.004573393,0.035720474,0
6/10/1996,-0.00170944,0.000539459,-0.001067033,-0.013288144,0.066455251,0.00715019,0.050921676,0
6/11/1996,-0.001771981,-0.004881345,0.005179816,-0.008058476,0.008144931,0.003070413,-0.016357036,0
6/12/1996,-0.002880578,0.008809045,0.010802335,0.021762432,0,0.00929258,0.004689964,0
6/13/1996,-0.001675443,-0.000549028,0.000130584,-0.00520103,-0.020454426,0.011334946,0.017176521,0
